Code,Mode,Type,Column,Title,Link,Info,Count
Ac,Form,Technik,Technik,Acryl,,,21
Aq,Form,Technik,Technik,Aquarell,,,14
B,Form,Technik,Technik,Bleistift,,,1967
C,Form,Technik,Technik,Collage,,,123
Cb,Form,Technik,Technik,Collagebuch,,,17
Fa,Form,Technik,Technik,Farbstift,,,124
Fs,Form,Technik,Technik,Filzstift,,,55
Fo,Form,Technik,Technik,Fotografie,,,17
G,Form,Technik,Technik,Gouache,,,1090
K,Form,Technik,Technik,Kohle,,,33
Ks,Form,Technik,Technik,Kugelschreiber,,,24
Opl,Form,Technik,Technik,Ölpastell,,,17
OP,Form,Technik,Technik,Ölfarbe auf Pavatex,,,816
OL,Form,Technik,Technik,Ölfarbe auf Leinwand,,,92
OPa,Form,Technik,Technik,Ölfarbe auf Papier,,,72
T,Form,Technik,Technik,Tusche,,,299
Dd,Form,Drucktechnik,Technik,Digitaldruck (ohne Fine Art Print),,,17
FAP,Form,Drucktechnik,Technik,Fine Art Print,,,66
Hs,Form,Drucktechnik,Technik,Holzschnitt,,,10
Ls,Form,Drucktechnik,Technik,Linolschnitt,,,59
Lg,Form,Drucktechnik,Technik,Lithografie,,,21
Od,Form,Drucktechnik,Technik,Offsetdruck,,,8
R,Form,Drucktechnik,Technik,Radierung,,,360
Rd,Form,Drucktechnik,Technik,Reliefdruck,,,5
S,Form,Drucktechnik,Technik,Siebdruck,,,4
zT,Form,mehrere Techniken,Technik,zwei Techniken,,,2890
Mt,Form,mehrere Techniken,Technik,Mischtechnik (3 Techniken und mehr),,,1734
H1,Farbe,Helligkeit,Helligkeit,hell,,,727
H2,Farbe,Helligkeit,Helligkeit,eher hell,,,3960
H3,Farbe,Helligkeit,Helligkeit,mittlere Helligkeit,,,3001
H4,Farbe,Helligkeit,Helligkeit,eher dunkel,,,2060
H5,Farbe,Helligkeit,Helligkeit,dunkel,,,245
bw,Farbe,Farbigkeit nach Dominanz,Farbigkeit,schwarzweiss,,,1335
gr,Farbe,Farbigkeit nach Dominanz,Farbigkeit,grau,,,4972
cf,Farbe,Farbigkeit nach Dominanz,Farbigkeit,vielfarbig,,,2304
y,Farbe,Farbigkeit nach Dominanz,Farbigkeit,gelb,,,82
g,Farbe,Farbigkeit nach Dominanz,Farbigkeit,grün,,,229
c,Farbe,Farbigkeit nach Dominanz,Farbigkeit,blau,,,286
v,Farbe,Farbigkeit nach Dominanz,Farbigkeit,violett,,,160
m,Farbe,Farbigkeit nach Dominanz,Farbigkeit,rot,,,126
b,Farbe,Farbigkeit nach Dominanz,Farbigkeit,braun,,,481
klein,Form,Format,Grösse,klein,,((grössere Zahl max. 30)),6819
mittel,Form,Format,Grösse,mittel,,((grössere Zahl 31 - 90)),3082
